"Applicant_ID","Month","Monthly_Income","Annual_Income","Employment_Status","House_Status","Employment_History_Years","Online_Spending_Behavior_Score","Utility_Bill_Payment_Score","Number_of_Open_Accounts","Credit_History_Years","Food_Expense","Transportation_Expense","Home_Utility_Expense","Shopping_Expense","Environmental_Spending","Loan_Amount_Requested","Loan_Term","Purpose","Approval_Status"
1,1,5183.32369535541,68000,"part time","Own",8,59,72,15,6,922.750076160977,526.172188942249,478.838098856814,613.691428596874,233.23426983028,NA,NA,NA,NA
1,2,5303.7924017602,68000,"part time","Own",8,59,72,15,6,1224.58884299844,772.986554816282,288.202222958288,532.934475107343,253.592264649672,NA,NA,NA,NA
1,3,5952.84972675145,68000,"part time","Own",8,59,72,15,6,689.611784293272,511.166729365483,570.383322707688,620.316175033364,239.621365161298,NA,NA,NA,NA
1,4,5817.21581798047,68000,"part time","Own",8,59,72,15,6,1599.84450135632,348.729080792463,349.287850906639,950.032026595662,189.052402101252,NA,NA,NA,NA
1,5,5265.61607221762,68000,"part time","Own",8,59,72,15,6,986.321474144091,769.375633961897,345.67196801468,952.94764795083,180.274156102006,NA,NA,NA,NA
1,6,5291.34516504904,68000,"part time","Own",8,59,72,15,6,1200.09463514619,590.099261467278,370.559971373211,588.814722023616,76.3286852225689,NA,NA,NA,NA
1,7,5528.01229205603,68000,"part time","Own",8,59,72,15,6,1544.54671648681,287.435116982029,495.87359228383,903.223022048413,173.129228605437,NA,NA,NA,NA
1,8,5468.56124584253,68000,"part time","Own",8,59,72,15,6,657.776686161202,291.955087260476,404.673003407096,963.353590517562,228.920611284515,NA,NA,NA,NA
1,9,5962.95255022124,68000,"part time","Own",8,59,72,15,6,761.10021237229,309.112156433906,363.941187078792,609.663506461674,201.658453494509,NA,NA,NA,NA
1,10,6135.15818556771,68000,"part time","Own",8,59,72,15,6,1539.59748417971,709.724971513528,581.759832499368,1456.08197102993,168.618728649784,NA,NA,NA,NA
1,11,5789.85090131561,68000,"part time","Own",8,59,72,15,6,1196.92191866327,360.713100484895,305.998797212474,975.265574842743,162.339886316414,NA,NA,NA,NA
1,12,5900.13194430309,68000,"part time","Own",8,59,72,15,6,1458.60352170603,840.799014430572,436.107500636043,785.970793940803,258.883758548016,12116.2310967338,9,"Medical Expenses","Approved"
2,1,6972.87628864869,84000,"part time","Rented",16,1,11,5,6,1179.72651966399,936.890114120403,416.453093816817,1325.77818756781,303.645390895907,NA,NA,NA,NA
2,2,6880.0147801172,84000,"part time","Rented",16,1,11,5,6,1862.45807886213,672.84978080988,676.593882045955,883.851066526395,237.662705031321,NA,NA,NA,NA
2,3,6605.45338611118,84000,"part time","Rented",16,1,11,5,6,1272.76887954303,389.425124886928,556.764483142733,1032.91685469851,207.838766092973,NA,NA,NA,NA
2,4,7111.71301258728,84000,"part time","Rented",16,1,11,5,6,1887.1225821838,794.931308052984,424.562602701405,915.24072843515,74.7076487263088,NA,NA,NA,NA
2,5,7280.97180160694,84000,"part time","Rented",16,1,11,5,6,1725.66425568196,879.246502610723,634.834258012911,1811.9780340489,274.951187744933,NA,NA,NA,NA
2,6,7013.4438205976,84000,"part time","Rented",16,1,11,5,6,1545.37924269478,622.168861172503,608.431719704154,739.431714016221,164.428582160676,NA,NA,NA,NA
2,7,7297.82977295108,84000,"part time","Rented",16,1,11,5,6,1004.02175419913,660.655177188125,433.823203156142,1501.98549179031,143.443582387617,NA,NA,NA,NA
2,8,6340.99769345485,84000,"part time","Rented",16,1,11,5,6,1587.57549294545,819.819880366444,363.402260635937,1478.27485214171,301.352457256364,NA,NA,NA,NA
2,9,6412.02856749296,84000,"part time","Rented",16,1,11,5,6,1058.15323670531,526.133807600942,639.742922049908,1070.91193955587,70.4075530179165,NA,NA,NA,NA
2,10,6501.93624552339,84000,"part time","Rented",16,1,11,5,6,1759.74943381589,833.59157645635,442.765909520414,1370.71416919427,249.842871723352,NA,NA,NA,NA
2,11,6417.99622555263,84000,"part time","Rented",16,1,11,5,6,984.651534167094,536.672984409873,485.548025004368,812.11749854198,282.220011210491,NA,NA,NA,NA
2,12,7527.69466065802,84000,"part time","Rented",16,1,11,5,6,1787.27022424802,802.278039622456,590.583514471325,1014.34870848746,226.580808349333,17124.813792808,24,"Home Improvement","Rejected"
3,1,4027.94495515215,44000,"part time","Own",10,11,32,8,5,998.231798486821,239.295354405287,299.973186204931,934.316529294695,109.950065429385,NA,NA,NA,NA
3,2,3376.15365345652,44000,"part time","Own",10,11,32,8,5,512.618949967953,376.221576937275,331.475254661861,820.250533301906,111.193634463528,NA,NA,NA,NA
3,3,3600.82673869717,44000,"part time","Own",10,11,32,8,5,665.685572758243,382.014986087088,336.650504786918,722.84163472009,152.319253187013,NA,NA,NA,NA
3,4,3856.26646932215,44000,"part time","Own",10,11,32,8,5,1065.73976131801,387.948485481886,248.643272464055,676.618769402395,165.659345955861,NA,NA,NA,NA
3,5,3320.84710450533,44000,"part time","Own",10,11,32,8,5,404.331456533463,292.48183950829,315.798502799594,513.470287874207,152.970332103503,NA,NA,NA,NA
